47;93;138;182;228;273;320;366;414;462;511;0;0;0;0;0
30;79;125;169;214;259;304;350;398;449;0;0;0;0;0;0
51;105;158;211;263;316;369;421;474;528;585;0;0;0;0;0
32;83;135;187;239;291;344;395;0;0;0;0;0;0;0;0
26;75;124;174;223;273;322;372;422;473;526;0;0;0;0;0
41;91;141;191;241;291;342;395;0;0;0;0;0;0;0;0
17;65;112;157;202;246;291;337;383;431;481;534;589;0;0;0
30;78;125;170;216;261;308;356;404;0;0;0;0;0;0;0
5;55;103;151;198;246;294;341;388;435;483;531;580;0;0;0
6;55;103;149;196;244;293;341;389;438;489;0;0;0;0;0
10;62;112;162;211;261;311;362;413;466;521;577;0;0;0;0
41;95;146;197;246;297;347;398;449;502;0;0;0;0;0;0
37;80;122;165;207;250;292;335;377;420;465;512;0;0;0;0
32;80;126;172;217;262;307;353;400;0;0;0;0;0;0;0
8;59;108;156;203;250;296;344;391;437;483;0;0;0;0;0
49;100;150;200;250;299;349;400;0;0;0;0;0;0;0;0
13;68;121;171;221;270;319;369;420;0;0;0;0;0;0;0
33;90;146;201;257;0;0;0;0;0;0;0;0;0;0;0
22;74;125;175;226;275;325;374;424;475;527;580;0;0;0;0
18;73;126;180;233;286;340;394;451;0;0;0;0;0;0;0
28;75;121;167;212;258;302;347;391;436;481;527;0;0;0;0
34;81;127;173;218;263;310;357;404;451;498;0;0;0;0;0
46;100;153;206;257;309;360;412;464;516;569;624;683;740;0;0
4;56;110;164;218;274;329;384;440;496;553;0;0;0;0;0
44;90;135;179;223;267;311;355;399;445;493;543;596;0;0;0
18;69;118;165;212;259;306;352;398;443;0;0;0;0;0;0
28;82;134;184;235;285;336;387;439;493;0;0;0;0;0;0
44;106;160;212;263;316;369;423;0;0;0;0;0;0;0;0
10;71;132;191;247;302;356;411;466;521;577;633;689;0;0;0
8;63;117;171;225;278;331;385;441;0;0;0;0;0;0;0
27;79;131;184;237;290;344;399;0;0;0;0;0;0;0;0
49;104;158;213;268;324;383;0;0;0;0;0;0;0;0;0
46;104;159;213;266;319;372;426;480;0;0;0;0;0;0;0
7;60;112;164;217;270;323;376;427;0;0;0;0;0;0;0
15;65;113;161;210;259;308;358;407;458;511;0;0;0;0;0
36;85;132;178;224;270;316;364;0;0;0;0;0;0;0;0
11;61;109;157;202;247;294;343;393;443;493;547;605;665;0;0
45;105;161;212;259;305;353;399;442;485;0;0;0;0;0;0
7;58;107;155;202;249;297;345;392;440;488;540;594;0;0;0
7;59;109;158;207;257;306;356;406;0;0;0;0;0;0;0
46;101;155;208;260;313;368;424;483;0;0;0;0;0;0;0
16;72;128;185;244;304;363;418;472;0;0;0;0;0;0;0
33;94;151;206;258;310;361;413;464;516;568;0;0;0;0;0
4;56;110;162;214;266;319;371;425;480;0;0;0;0;0;0
2;56;110;162;215;271;326;384;446;509;569;630;706;784;857;0
11;67;122;176;228;280;330;379;428;478;527;574;620;665;713;762
29;75;122;168;215;262;308;354;400;447;0;0;0;0;0;0
20;66;111;156;200;245;290;336;381;427;0;0;0;0;0;0
8;57;104;151;198;245;292;338;384;430;476;0;0;0;0;0
28;76;125;173;222;270;318;366;414;463;0;0;0;0;0;0
38;95;148;199;250;302;353;405;457;510;565;0;0;0;0;0
8;60;111;161;212;262;313;365;417;471;0;0;0;0;0;0
8;59;109;159;210;262;314;367;421;0;0;0;0;0;0;0
34;89;142;195;250;306;0;0;0;0;0;0;0;0;0;0
50;107;161;214;265;315;366;418;470;522;577;0;0;0;0;0
10;61;111;160;209;258;307;356;406;457;508;0;0;0;0;0
23;74;125;176;226;275;325;377;430;485;0;0;0;0;0;0
34;84;134;184;233;282;330;380;0;0;0;0;0;0;0;0
16;68;119;169;220;271;324;375;425;475;527;579;0;0;0;0
14;68;120;169;217;265;315;367;419;473;527;0;0;0;0;0
12;72;131;189;248;308;367;425;481;538;596;0;0;0;0;0
51;112;168;220;273;332;392;0;0;0;0;0;0;0;0;0
35;86;136;185;234;284;335;385;434;483;532;582;634;0;0;0
46;100;151;202;253;305;356;406;456;508;562;0;0;0;0;0
33;84;134;183;232;282;331;381;430;479;531;586;0;0;0;0
34;84;133;182;230;278;327;376;427;478;531;584;0;0;0;0
4;59;116;170;224;277;330;383;436;489;544;599;654;0;0;0
38;92;144;195;248;300;352;0;0;0;0;0;0;0;0;0
13;67;120;171;223;274;326;379;432;486;540;0;0;0;0;0
37;91;144;197;251;305;360;415;0;0;0;0;0;0;0;0
34;92;146;197;247;296;345;394;445;495;546;598;0;0;0;0
34;85;134;183;232;282;332;385;438;0;0;0;0;0;0;0
2;49;96;141;186;230;274;317;361;406;451;495;540;585;631;679
45;96;145;193;241;289;338;386;434;481;530;0;0;0;0;0
13;58;102;146;191;236;281;325;370;415;461;508;0;0;0;0
2;49;96;143;188;234;279;325;372;419;0;0;0;0;0;0
44;100;154;207;260;311;362;414;468;523;580;640;704;0;0;0
45;101;155;208;261;312;363;415;469;524;581;641;704;0;0;0
36;84;129;174;220;266;315;363;413;462;512;0;0;0;0;0
32;79;126;174;222;270;319;369;420;470;522;0;0;0;0;0
19;79;138;196;254;311;369;425;481;538;595;654;0;0;0;0
15;71;127;183;240;298;356;415;473;0;0;0;0;0;0;0
10;63;115;166;215;264;313;362;411;461;510;562;0;0;0;0
2;55;110;163;216;267;318;370;422;475;0;0;0;0;0;0
13;65;115;165;214;262;310;357;404;453;505;562;0;0;0;0
3;51;99;148;196;246;297;348;400;452;0;0;0;0;0;0
16;68;117;165;213;260;307;353;400;447;494;541;590;640;693;0
12;62;109;156;203;250;298;346;393;442;491;542;0;0;0;0
43;101;156;208;259;308;359;412;468;525;581;635;0;0;0;0
51;103;155;208;260;311;364;417;471;526;581;637;0;0;0;0
8;57;106;153;202;251;301;351;401;452;503;557;614;673;0;0
26;76;125;172;221;272;324;376;429;482;0;0;0;0;0;0
13;70;125;178;229;281;333;386;438;491;544;598;655;0;0;0
38;91;145;199;253;307;363;420;476;0;0;0;0;0;0;0
27;83;138;193;246;298;349;400;452;504;557;610;664;719;0;0
49;101;153;205;256;308;360;412;464;515;567;620;0;0;0;0
13;61;107;154;201;247;293;339;385;432;480;529;0;0;0;0
36;85;133;180;227;273;320;367;414;460;0;0;0;0;0;0
23;79;135;193;251;308;364;419;475;532;0;0;0;0;0;0
40;100;160;219;278;336;0;0;0;0;0;0;0;0;0;0
5;54;102;149;196;243;289;336;383;429;476;524;573;0;0;0
39;88;136;182;228;275;323;374;0;0;0;0;0;0;0;0
44;97;148;200;251;303;354;406;459;0;0;0;0;0;0;0
19;73;126;179;233;287;342;0;0;0;0;0;0;0;0;0
3;54;105;155;203;249;295;341;388;437;488;0;0;0;0;0
5;52;98;144;191;238;286;334;383;435;0;0;0;0;0;0
32;82;132;182;232;281;330;380;431;485;0;0;0;0;0;0
29;81;131;178;225;273;323;0;0;0;0;0;0;0;0;0
39;91;141;191;242;292;341;389;439;489;0;0;0;0;0;0
26;76;127;177;226;274;323;372;421;0;0;0;0;0;0;0
8;67;128;189;252;315;379;444;0;0;0;0;0;0;0;0
53;123;187;246;307;0;0;0;0;0;0;0;0;0;0;0
37;91;143;194;242;289;338;388;439;490;542;597;0;0;0;0
49;101;152;203;253;303;353;405;458;0;0;0;0;0;0;0
79;127;182;234;284;333;382;431;480;530;580;630;682;736;0;0
22;76;130;182;232;281;332;384;436;0;0;0;0;0;0;0
27;87;148;208;265;320;379;444;512;0;0;0;0;0;0;0
23;77;130;183;236;290;343;397;450;503;554;0;0;0;0;0
40;97;152;207;263;320;377;435;493;553;0;0;0;0;0;0
37;90;144;196;248;301;353;406;460;515;0;0;0;0;0;0
7;57;107;156;205;254;304;355;405;455;508;563;622;0;0;0
14;67;119;170;221;272;322;373;0;0;0;0;0;0;0;0
3;52;101;150;198;246;294;342;390;439;489;539;592;0;0;0
6;58;111;163;214;263;311;360;407;0;0;0;0;0;0;0
32;89;144;198;249;303;362;425;0;0;0;0;0;0;0;0
49;103;157;210;264;318;372;427;0;0;0;0;0;0;0;0
16;78;136;190;243;295;347;400;454;510;571;0;0;0;0;0
58;117;173;228;282;337;393;449;0;0;0;0;0;0;0;0
