18;66;111;156;200;246;291;338;385;432;481;530;0;0;0;0
3;49;95;140;185;230;276;322;368;415;0;0;0;0;0;0
12;68;123;176;228;280;333;385;437;491;546;0;0;0;0;0
48;100;152;204;255;308;361;0;0;0;0;0;0;0;0;0
37;88;137;186;236;286;335;384;435;488;541;0;0;0;0;0
6;56;106;155;205;255;305;357;410;0;0;0;0;0;0;0
30;77;124;169;213;258;304;350;397;445;496;549;605;0;0;0
41;89;136;182;227;273;320;368;417;0;0;0;0;0;0;0
20;70;119;167;215;263;310;358;405;452;499;548;0;0;0;0
21;70;118;165;212;261;309;357;405;454;0;0;0;0;0;0
26;76;126;176;225;275;325;377;429;482;538;0;0;0;0;0
5;56;109;160;211;260;310;360;411;464;519;0;0;0;0;0
7;53;96;138;181;224;267;309;352;395;439;485;534;0;0;0
2;48;96;142;187;233;278;324;371;420;0;0;0;0;0;0
27;77;126;174;221;267;314;361;408;455;505;0;0;0;0;0
15;68;118;169;218;268;318;367;418;0;0;0;0;0;0;0
23;77;129;179;229;278;328;379;431;0;0;0;0;0;0;0
45;102;158;213;268;0;0;0;0;0;0;0;0;0;0;0
34;86;137;187;238;287;337;386;437;488;540;0;0;0;0;0
31;85;138;192;246;300;354;408;0;0;0;0;0;0;0;0
47;93;139;185;230;276;320;365;410;456;502;0;0;0;0;0
4;52;99;144;190;236;282;328;376;424;471;518;0;0;0;0
11;64;117;170;223;275;327;379;431;482;534;588;645;704;0;0
21;74;128;182;237;291;346;402;458;514;571;0;0;0;0;0
9;58;104;150;194;238;282;325;370;415;462;511;564;620;0;0
34;83;131;179;226;273;320;366;412;459;0;0;0;0;0;0
40;94;146;198;248;299;349;401;453;507;0;0;0;0;0;0
9;65;119;172;224;276;329;383;437;0;0;0;0;0;0;0
28;90;150;209;266;320;374;429;484;540;596;653;710;0;0;0
23;79;133;187;241;295;349;404;460;0;0;0;0;0;0;0
38;93;146;199;252;305;359;0;0;0;0;0;0;0;0;0
11;67;121;176;231;287;342;396;0;0;0;0;0;0;0;0
4;60;117;171;225;278;331;384;438;0;0;0;0;0;0;0
16;70;124;176;229;282;335;389;443;0;0;0;0;0;0;0
32;80;129;178;227;276;325;374;425;476;528;0;0;0;0;0
4;52;99;146;193;239;285;331;0;0;0;0;0;0;0;0
27;76;124;171;217;263;311;360;409;459;509;563;623;0;0;0
10;66;122;176;226;273;320;368;415;460;506;0;0;0;0;0
18;71;121;170;217;264;311;359;407;454;504;557;610;0;0;0
23;72;122;171;221;270;320;371;424;0;0;0;0;0;0;0
8;63;118;171;224;277;330;386;442;0;0;0;0;0;0;0
37;90;145;201;259;319;377;434;0;0;0;0;0;0;0;0
55;113;168;222;274;326;378;430;482;534;587;0;0;0;0;0
14;71;125;178;230;283;336;388;442;495;0;0;0;0;0;0
19;78;130;183;239;295;351;409;470;529;587;647;718;775;805;837
30;87;142;195;247;297;348;398;447;496;545;594;644;692;740;788
38;87;134;180;227;273;319;365;412;459;0;0;0;0;0;0
30;77;122;167;211;256;301;346;392;438;0;0;0;0;0;0
23;71;118;165;212;259;306;351;397;444;492;0;0;0;0;0
43;92;140;188;236;284;332;380;429;478;0;0;0;0;0;0
54;110;163;215;266;318;370;422;474;528;583;0;0;0;0;0
22;75;127;177;228;279;330;382;434;487;0;0;0;0;0;0
26;76;127;177;228;279;332;385;439;0;0;0;0;0;0;0
51;104;157;212;267;323;0;0;0;0;0;0;0;0;0;0
10;68;124;178;231;282;332;384;436;488;540;0;0;0;0;0
27;77;127;176;226;275;324;374;424;475;528;0;0;0;0;0
39;91;143;193;243;293;343;394;448;504;0;0;0;0;0;0
49;99;149;199;248;297;346;0;0;0;0;0;0;0;0;0
36;87;137;187;238;289;341;393;443;494;546;599;0;0;0;0
39;93;144;193;241;288;336;387;440;492;0;0;0;0;0;0
29;87;146;205;264;324;382;439;495;552;0;0;0;0;0;0
14;76;133;188;241;294;350;408;0;0;0;0;0;0;0;0
4;54;103;152;202;251;302;352;403;453;502;551;602;653;0;0
10;63;116;167;219;270;320;371;423;474;525;578;0;0;0;0
45;98;149;198;247;297;346;395;444;494;546;598;0;0;0;0
2;51;100;149;197;245;294;344;393;443;495;549;0;0;0;0
28;81;135;189;242;295;348;401;455;509;563;618;674;0;0;0
